SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,333 Beale St Unit 6E,San Francisco,CA,94105,1950000,2,2.0,San Francisco,1630,75406,2015,15,1196,1300,Active,September-4-2021 02:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/333-Beale-St-94105/unit-6E/home/109464596,San Francisco MLS,421578462,N,Y,37.7884937,-122.3918797
MLS Listing,,Condo/Co-op,870 Harrison St #402,San Francisco,CA,94107,738000,1,1.0,San Francisco,,5843,2015,15,,650,Active,September-4-2021 01:45 PM,September-4-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/870-Harrison-St-94107/unit-402/home/109686951,San Francisco MLS,421563641,N,Y,37.7797695,-122.401375
MLS Listing,,Condo/Co-op,199 New Montgomery St #509,SAN FRANCISCO,CA,94105,815000,1,1.0,SAN FRANCISCO,737,,2004,16,1106,584,Active,,,http://www.redfin.com/CA/San-Francisco/199-New-Montgomery-St-94105/unit-509/home/12401482,MLSListings,ML81859031,N,Y,37.7866287,-122.3991624
MLS Listing,,Condo/Co-op,650 Delancey St #107,San Francisco,CA,94107,1950000,2,2.0,San Francisco,1554,61922,1996,16,1255,693,Active,,,http://www.redfin.com/CA/San-Francisco/650-Delancey-St-94107/unit-107/home/12396309,San Francisco MLS,421585989,N,Y,37.7828055,-122.3896538
MLS Listing,,Single Family Residential,65 Rebecca Ln,San Francisco,CA,94124,899000,2,2.0,San Francisco,1383,992,1992,16,650,65,Active,,,http://www.redfin.com/CA/San-Francisco/65-Rebecca-Ln-94124/home/743201,San Francisco MLS,421583579,N,Y,37.7380778,-122.3834015
MLS Listing,,Multi-Family (5+ Unit),793 Clayton St,San Francisco,CA,94117,3150000,0,,San Francisco,6354,2616,1904,16,496,,Active,,,http://www.redfin.com/CA/San-Francisco/793-Clayton-St-94117/home/1128175,San Francisco MLS,421583861,N,Y,37.7671874,-122.4483355
MLS Listing,,Condo/Co-op,5800 3rd St #1315,San Francisco,CA,94124,664000,1,1.0,San Francisco,889,,2011,16,747,446,Active,,,http://www.redfin.com/CA/San-Francisco/5800-3rd-St-94124/unit-1315/home/40629110,San Francisco MLS,421585852,N,Y,37.7253452,-122.3948096
MLS Listing,,Condo/Co-op,1101 Pacific Ave #501,San Francisco,CA,94133,1890000,3,2.0,San Francisco,1458,4839,2000,16,1296,1165,Active,September-4-2021 01:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1101-Pacific-Ave-94133/unit-501/home/1537503,San Francisco MLS,421560570,N,Y,37.7959655,-122.4135828
MLS Listing,,Multi-Family (5+ Unit),1517 Waller St,San Francisco,CA,94117,2495000,0,,San Francisco,4500,2719,1907,17,554,,Active,,,http://www.redfin.com/CA/San-Francisco/1517-Waller-St-94117/home/2012905,San Francisco MLS,421585870,N,Y,37.7686549,-122.4488772
MLS Listing,,Condo/Co-op,1200 Gough St Unit 10C,San Francisco,CA,94109,799000,1,1.0,San Francisco,840,44676,1966,17,951,831,Active,,,http://www.redfin.com/CA/San-Francisco/1200-Gough-St-94109/unit-10C/home/1942338,San Francisco MLS,421585264,N,Y,37.7849434,-122.4242824
